-4.1368220059e+01,-4.1340247034e+01,-4.1348919184e+01,-4.1362971353e+01,
-4.1359404768e+01,-4.1362384893e+01,-4.1364486198e+01,-4.1291038891e+01,
-4.1311830843e+01,-4.1339519488e+01,-4.1285777611e+01,-4.1230875776e+01,
-4.1203385066e+01,-4.1212373045e+01,-4.1249011193e+01,-4.1175165059e+01,
-4.1268315207e+01,-4.1306877371e+01,-4.1308421656e+01,-4.1333703884e+01,
-4.1425735319e+01,-4.1417334419e+01,-4.1393730548e+01,-4.1444152264e+01,
-4.1357750920e+01,-4.1306386164e+01,-4.1272191802e+01,-4.1350721032e+01,
-4.1419107357e+01,-4.1440208537e+01,-4.1454415431e+01,-4.1362514450e+01,
-3.9769472731e+01,-3.9702634896e+01,-3.9716870078e+01,-3.9759108416e+01,
-3.9734432723e+01,-3.9762371741e+01,-3.9750602395e+01,-3.9689254521e+01,
-3.9712515226e+01,-3.9764872699e+01,-3.9700249356e+01,-3.9603646081e+01,
-3.9572156274e+01,-3.9595345996e+01,-3.9615739765e+01,-3.9553932659e+01,
-3.9626487006e+01,-3.9658052404e+01,-3.9657345606e+01,-3.9695571355e+01,
-3.9818291558e+01,-3.9798372030e+01,-3.9784509012e+01,-3.9830028009e+01,
-3.9750145150e+01,-3.9706865012e+01,-3.9652709484e+01,-3.9718169453e+01,
-3.9785115565e+01,-3.9824597237e+01,-3.9840980571e+01,-3.9783450006e+01,
-4.0144087450e+01,-4.0106618750e+01,-4.0103359871e+01,-4.0111437908e+01,
-4.0108935853e+01,-4.0130855719e+01,-4.0127627719e+01,-4.0108167880e+01,
-4.0093811838e+01,-4.0106686421e+01,-4.0064233597e+01,-4.0027468725e+01,
-3.9979529757e+01,-3.9961671144e+01,-4.0004621437e+01,-3.9982917944e+01,
-3.9958694493e+01,-3.9988070133e+01,-3.9995709039e+01,-4.0069304484e+01,
-4.0161415871e+01,-4.0171608890e+01,-4.0168947488e+01,-4.0137962868e+01,
-4.0136364944e+01,-4.0109649715e+01,-4.0074297084e+01,-4.0105053819e+01,
-4.0122194235e+01,-4.0199781844e+01,-4.0202929458e+01,-4.0186810548e+01,
-3.9696920065e+01,-3.9669994146e+01,-3.9650726020e+01,-3.9632171258e+01,
-3.9670479424e+01,-3.9675762228e+01,-3.9714024797e+01,-3.9678230332e+01,
-3.9687126233e+01,-3.9651542949e+01,-3.9630791794e+01,-3.9627528060e+01,
-3.9593310681e+01,-3.9544626291e+01,-3.9539502916e+01,-3.9547833018e+01,
-3.9501718989e+01,-3.9544106999e+01,-3.9560745328e+01,-3.9609884767e+01,
-3.9679870006e+01,-3.9751760403e+01,-3.9724329785e+01,-3.9727028595e+01,
